transaction_id,employee_id,punch_datetime,device_no,status,mandt,P_Day,ISManual,data_flag,record_datetime
9992068,13991447,2023-12-05T11:12:52,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992069,13991446,2023-12-05T11:13:12,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992058,13000758,2023-12-05T10:00:49,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992059,13000757,2023-12-05T10:00:51,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992060,13000085,2023-12-05T10:08:44,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992061,13991462,2023-12-05T10:09:26,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992062,13991463,2023-12-05T10:09:35,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992063,13000760,2023-12-05T10:10:05,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992064,13991415,2023-12-05T10:15:20,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992109,13000735,2023-12-06T10:01:37,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992110,13000757,2023-12-06T10:02:09,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992111,13000085,2023-12-06T10:02:32,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992112,13000758,2023-12-06T10:04:26,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992113,13000751,2023-12-06T10:12:09,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992114,13000760,2023-12-06T10:12:20,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992115,13991463,2023-12-06T10:13:08,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992116,13991415,2023-12-06T10:16:13,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992117,13000763,2023-12-06T10:27:11,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992118,13000585,2023-12-06T10:31:46,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992119,13000427,2023-12-06T10:57:17,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9992120,13991430,2023-12-06T11:00:52,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992121,13000748,2023-12-06T11:02:44,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992122,13991447,2023-12-06T11:03:20,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992123,13991387,2023-12-06T11:04:27,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9992124,13000583,2023-12-06T11:45:18,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992125,13000031,2023-12-06T12:11:55,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992126,13000075,2023-12-06T12:50:21,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992127,13000679,2023-12-06T12:58:21,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992128,13991460,2023-12-06T13:02:15,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992129,13000393,2023-12-06T13:02:50,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992130,13000722,2023-12-06T13:05:45,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992131,13000759,2023-12-06T13:06:28,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992132,13991375,2023-12-06T13:10:53,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992133,13991307,2023-12-06T13:50:45,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992134,13000186,2023-12-06T14:08:30,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992135,13000761,2023-12-06T15:40:43,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992136,13000753,2023-12-06T17:39:37,31,01,300,N,N,API,2023-12-15 11:36:57.819639
9992137,13991374,2023-12-06T17:41:42,31,01,300,N,N,API,2023-12-15 11:36:57.819639
9992138,00000999,2023-12-06T17:43:08,41,01,300,N,N,API,2023-12-15 11:36:57.819639
9992139,13000753,2023-12-06T17:46:17,41,01,300,N,N,API,2023-12-15 11:36:57.819639
9992140,00000999,2023-12-06T17:47:57,41,01,300,N,N,API,2023-12-15 11:36:57.819639
9992141,13000758,2023-12-06T19:00:22,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992142,13000735,2023-12-06T19:03:07,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992143,13000757,2023-12-06T19:08:14,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992144,13000760,2023-12-06T19:27:51,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992145,13000763,2023-12-06T19:27:54,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992146,13991415,2023-12-06T20:08:37,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992147,13991430,2023-12-06T20:10:53,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992148,13991447,2023-12-06T20:11:00,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992149,13000085,2023-12-06T20:25:21,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992150,13000753,2023-12-06T20:27:46,41,01,300,N,N,API,2023-12-15 11:36:57.819639
9992151,13000672,2023-12-06T20:29:27,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992152,13000023,2023-12-06T20:33:38,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992153,13000585,2023-12-06T20:46:18,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992154,13000583,2023-12-06T21:18:44,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992155,13000753,2023-12-06T21:19:01,41,01,300,N,N,API,2023-12-15 11:36:57.819639
9992156,13000679,2023-12-06T22:00:36,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992157,13000427,2023-12-06T22:02:16,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9992158,13000075,2023-12-06T22:05:57,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992159,13000759,2023-12-06T22:08:43,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992160,13000722,2023-12-06T22:11:45,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992161,13000031,2023-12-06T22:16:43,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992162,13000393,2023-12-06T22:18:02,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992163,13000761,2023-12-06T22:21:05,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992164,13991387,2023-12-06T22:22:01,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9992165,13991460,2023-12-06T22:29:41,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992166,13991463,2023-12-06T22:29:58,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992167,13000748,2023-12-06T23:05:12,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992168,13991307,2023-12-06T23:14:23,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992169,13000186,2023-12-06T23:14:32,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992170,13000023,2023-12-07T09:52:44,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992171,13000735,2023-12-07T09:57:43,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992172,13991374,2023-12-07T09:47:24,41,01,300,N,N,API,2023-12-15 11:36:57.819639
9992173,13000753,2023-12-07T09:47:33,41,01,300,N,N,API,2023-12-15 11:36:57.819639
9992174,13000085,2023-12-07T09:59:51,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992175,13000393,2023-12-07T10:01:35,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992176,13000758,2023-12-07T10:09:16,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992177,13991462,2023-12-07T10:13:02,46,01,300,N,N,API,2023-12-15 11:36:57.819639
